zipcode,rate
64148,290.05
67118,224.31
40813,
18229,256.38
51012,374.3
79168,297.7
54923,
67651,262.7
49448,225.81
27702,357.56
47387,373.13
50014,322.34
33608,336.26
06239,
54919,348.73
46706,
14846,
48872,
43343,
77052,241.72
07734,
95327,
12961,
26716,278.9
48435,
53181,414.84
52654,335.56
58703,326.65
91945,
52146,292.26
56097,
21777,
42330,
38849,349.43
77586,241.72
39745,302.12
03299,343.33
63359,
60094,309.4
15935,264.46
39845,413.62
48418,
28411,332.62
37333,245.01
75939,315.33
07184,
86313,416.99
61232,317.83
20047,
47452,
